개설강좌,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
NO,개설전공,개설과정,과목번호,분반,교과목명,담당교수,이수구분,과목세부구분,강의실습구분,교과대분류,교과분야,교과영역,전공(트랙),학위구분,성적부여방법,학점,이론시수,실습시수,코드쉐어여부,영어강의여부,요일/교시/강의실,선수과목,비고
1,기초학부,전체,BE101a,01,프로그래밍,목지수,기초필수,교과,이론및실습,기초,기초공학,컴퓨터공학,,,등급,3.0,2.0,2.0,N,Y,"화09:00-11:00(E7 - 233), 목09:00-11:00(E7 - 233)",,목요일 09시-11시 실습 수업 일괄 진행
2,기초학부,전체,BE202,01,데이터사이언스기초,장준기,기초필수,교과,이론및실습,기초,기초공학,컴퓨터공학,,,등급,3.0,2.0,2.0,N,Y,"화13:00-15:00(E7 - 233), 목13:00-15:00(E7 - 233)",,
3,기초학부,전체,BE202,02,데이터사이언스기초,길현재,기초필수,교과,이론및실습,기초,기초공학,컴퓨터공학,,,등급,3.0,2.0,2.0,N,Y,"월15:00-17:00(E7 - 233), 수15:00-17:00(E7 - 233)",,
4,기초학부,전체,BE203,01,창의기계설계,박준혁,기초필수,교과,이론,기초,기초공학,공학선택,기계공학,,등급,3.0,3.0,0.0,N,N,금09:00-12:00(E7 - 307),,
5,기초학부,전체,BE203,02,창의기계설계,송석호,기초필수,교과,이론,기초,기초공학,공학선택,기계공학,,등급,3.0,3.0,0.0,N,Y,월14:30-17:30(E7 - 307),,
6,기초학부,전체,BE205,01,회로이론과 계측법(이론),이정협,기초필수,교과,이론,기초,기초공학,공학선택,전자공학,,등급,2.0,2.0,0.0,N,Y,목17:00-19:00(E7 - 233),,
7,기초학부,전체,BE205,02,회로이론과 계측법(이론),송민영,기초필수,교과,이론,기초,기초공학,공학선택,전자공학,,등급,2.0,2.0,0.0,N,Y,화17:00-19:00(E7 - 233),,
8,기초학부,전체,BR301,01,뇌과학실험Ⅰ(이),"조용철, 김규형, 오용석",심화필수,교과,실습,심화,전공,트랙,뇌과학(*),이학사,등급,3.0,0.0,3.0,N,Y,금09:00-12:00(E4 - 225),,
9,기초학부,전체,BR403,01,신경재생 및 퇴행(이),조용철,심화필수,교과,이론,심화,전공,트랙,뇌과학(*),이학사,등급,3.0,3.0,0.0,N,Y,"화14:30-16:00(E7 - L21), 목14:30-16:00(E7 - L21)",,신규개설
10,기초학부,전체,BR404,01,학습과 기억(이),박포정,심화필수,교과,이론,심화,전공,트랙,뇌과학(*),이학사,등급,3.0,3.0,0.0,N,Y,"화16:30-18:00(E7 - G01), 목16:30-18:00(E7 - G01)",,신규개설
11,기초학부,전체,BS102a,01,공학수학Ⅰ,안흥주,기초필수,교과,이론및실습,기초,기초과학,수학,,,등급,3.0,3.0,1.0,N,Y,"화13:00-15:00(E7 - 223), 목13:00-15:00(E7 - 223)",,
12,기초학부,전체,BS102a,02,공학수학Ⅰ,Hudson Thomas Bryan,기초필수,교과,이론및실습,기초,기초과학,수학,,,등급,3.0,3.0,1.0,N,Y,"화16:30-18:30(E7 - 223), 목16:30-18:30(E7 - 223)",,
13,기초학부,전체,BS102a,03,공학수학Ⅰ,Carlos Scarinci,기초필수,교과,이론및실습,기초,기초과학,수학,,,등급,3.0,3.0,1.0,N,Y,"월09:00-11:00(E7 - L21), 수09:00-11:00(E7 - L21)",,
14,기초학부,전체,BS102a,04,공학수학Ⅰ,Carlos Scarinci,기초필수,교과,이론및실습,기초,기초과학,수학,,,등급,3.0,3.0,1.0,N,Y,"월16:00-18:00(E7 - 223), 수16:00-18:00(E7 - 223)",,
15,기초학부,전체,BS102a,05,공학수학Ⅰ,Carlos Scarinci,기초필수,교과,이론및실습,기초,기초과학,수학,,,등급,3.0,3.0,1.0,N,Y,"화11:00-13:00(E7 - 223), 목11:00-13:00(E7 - 223)",,
16,기초학부,전체,BS103a,01,일반물리Ⅰ,DEVECIOGLU DENIZ OLGU,기초필수,교과,이론,기초,기초과학,물리,,,등급,3.0,3.0,0.0,N,Y,"화15:00-16:30(E7 - 241), 목15:00-16:30(E7 - 241)",,
17,기초학부,전체,BS103a,02,일반물리Ⅰ,DEVECIOGLU DENIZ OLGU,기초필수,교과,이론,기초,기초과학,물리,,,등급,3.0,3.0,0.0,N,Y,"화11:00-12:30(E7 - 241), 목11:00-12:30(E7 - 241)",,
18,기초학부,전체,BS103a,03,일반물리Ⅰ,DEVECIOGLU DENIZ OLGU,기초필수,교과,이론,기초,기초과학,물리,,,등급,3.0,3.0,0.0,N,Y,"화17:00-18:30(E7 - 241), 목17:00-18:30(E7 - 241)",,
19,기초학부,전체,BS103a,04,일반물리Ⅰ,DEVECIOGLU DENIZ OLGU,기초필수,교과,이론,기초,기초과학,물리,,,등급,3.0,3.0,0.0,N,Y,"수15:00-16:30(E7 - 236), 금15:00-16:30(E7 - 236)",,"동일과목 : [대학](BS103) 고전역학, [대학](BS107) 고전역학-기초, [대학](BS107a) 일반물리Ⅰ-기초, [대학](BS108) 고전역학-심화, [대학](BS108a) 일반물리Ⅰ-심화"
20,기초학부,전체,BS104a,01,일반물리실험Ⅰ,김동렬,기초필수,교과,실습,기초,기초과학,물리,물리학,,등급,1.0,0.0,2.0,N,N,월16:00-18:00(E2 - 220),,
21,기초학부,전체,BS104a,02,일반물리실험Ⅰ,김동렬,기초필수,교과,실습,기초,기초과학,물리,물리학,,등급,1.0,0.0,2.0,N,N,수14:00-16:00(E2 - 220),,
22,기초학부,전체,BS104a,03,일반물리실험Ⅰ,김동렬,기초필수,교과,실습,기초,기초과학,물리,물리학,,등급,1.0,0.0,2.0,N,N,월13:00-15:00(E2 - 220),,
23,기초학부,전체,BS104a,04,일반물리실험Ⅰ,김동렬,기초필수,교과,실습,기초,기초과학,물리,물리학,,등급,1.0,0.0,2.0,N,N,월10:30-12:30(E2 - 220),,
24,기초학부,전체,BS104a,05,일반물리실험Ⅰ,김동렬,기초필수,교과,실습,기초,기초과학,물리,물리학,,등급,1.0,0.0,2.0,N,N,수11:00-13:00(E2 - 220),,
25,기초학부,전체,BS104a,06,일반물리실험Ⅰ,김동렬,기초필수,교과,실습,기초,기초과학,물리,물리학,,등급,1.0,0.0,2.0,N,N,수16:00-18:00(E2 - 220),,동일과목 : [대학](BS104) 고전역학 실험
26,기초학부,전체,BS104a,07,일반물리실험Ⅰ,박기성,기초필수,교과,실습,기초,기초과학,물리,물리학,,등급,1.0,0.0,2.0,N,Y,화13:00-15:00(E2 - 220),,"일반물리실험1의 07분반 (화요일 오후 1시부터-3시)은 외국인 학생들을 위한 분반입니다.   이 분반에서는 영어로 모든 수업과 보고서 제출, 프로젝트 발표 등이 진행됩니다.    Section 07 of General Physics Laboratory I (Tuesday, 1:00?3:00 PM) is a section designated for international students.   In this section, all classes, laboratory reports, and project presentations are conducted in English.  동일과목 : [대학](BS104) 고전역학 실험"
27,기초학부,전체,BS113,01,일반화학실험Ⅰ,민은선,기초필수,교과,실습,기초,기초과학,화학,화학,,등급,1.0,0.0,2.0,N,N,수09:00-11:00(E6 - 221),,
28,기초학부,전체,BS113,02,일반화학실험Ⅰ,민은선,기초필수,교과,실습,기초,기초과학,화학,화학,,등급,1.0,0.0,2.0,N,N,월09:00-11:00(E6 - 221),,
29,기초학부,전체,BS113,03,일반화학실험Ⅰ,민은선,기초필수,교과,실습,기초,기초과학,화학,화학,,등급,1.0,0.0,2.0,N,N,월15:00-17:00(E6 - 221),,
30,기초학부,전체,BS113,04,일반화학실험Ⅰ,민은선,기초필수,교과,실습,기초,기초과학,화학,화학,,등급,1.0,0.0,2.0,N,N,월13:00-15:00(E6 - 221),,
31,기초학부,전체,BS113,05,일반화학실험Ⅰ,민은선,기초필수,교과,실습,기초,기초과학,화학,화학,,등급,1.0,0.0,2.0,N,N,수14:00-16:00(E6 - 221),,
32,기초학부,전체,BS113,06,일반화학실험Ⅰ,Desta Kebede Taye,기초필수,교과,실습,기초,기초과학,화학,화학,,등급,1.0,0.0,2.0,N,Y,수16:00-18:00(E6 - 221),,"동일과목 : [대학](SE108) 기초화학실험 I, [대학](SE108a) 기초화학실험"
33,기초학부,전체,BS113,07,일반화학실험Ⅰ,Desta Kebede Taye,기초필수,교과,실습,기초,기초과학,화학,화학,,등급,1.0,0.0,2.0,N,Y,목13:00-15:00(E6 - 221),,"동일과목 : [대학](SE108) 기초화학실험 I, [대학](SE108a) 기초화학실험"
34,기초학부,전체,BS114,01,생명과학개론,이석규,기초필수,교과,이론,기초,기초과학,생명과학,,,등급,3.0,3.0,0.0,N,Y,"화11:00-12:30(E7 - 242), 목11:00-12:30(E7 - 242)",,
35,기초학부,전체,BS114,02,생명과학개론,이효상,기초필수,교과,이론,기초,기초과학,생명과학,,,등급,3.0,3.0,0.0,N,Y,"월16:30-18:00(E7 - 224), 금16:30-18:00(E7 - 224)",,
36,기초학부,전체,BS115,01,일반생물학 실험,김유리,기초필수,교과,실습,기초,기초과학,생명과학,,,등급,1.0,0.0,2.0,N,Y,월09:00-11:00(E4 - 224),,
37,기초학부,전체,BS115,02,일반생물학 실험,조정아,기초필수,교과,실습,기초,기초과학,생명과학,,,등급,1.0,0.0,2.0,N,Y,수11:00-13:00(E4 - 224),,
38,기초학부,전체,BS115,03,일반생물학 실험,조정아,기초필수,교과,실습,기초,기초과학,생명과학,,,등급,1.0,0.0,2.0,N,Y,화11:00-13:00(E4 - 224),,
39,기초학부,전체,BS115,04,일반생물학 실험,조정아,기초필수,교과,실습,기초,기초과학,생명과학,,,등급,1.0,0.0,2.0,N,Y,목11:00-13:00(E4 - 224),,
40,기초학부,전체,BS115,05,일반생물학 실험,조정아,기초필수,교과,실습,기초,기초과학,생명과학,,,등급,1.0,0.0,2.0,N,Y,수09:00-11:00(E4 - 224),,
41,기초학부,전체,BS115,06,일반생물학 실험,조정아,기초필수,교과,실습,기초,기초과학,생명과학,,,등급,1.0,0.0,2.0,N,Y,수14:00-16:00(E4 - 224),,
42,기초학부,전체,BS115,07,일반생물학 실험,조정아,기초필수,교과,실습,기초,기초과학,생명과학,,,등급,1.0,0.0,2.0,N,Y,수16:00-18:00(E4 - 224),,
43,기초학부,전체,BS116,01,일반생물학Ⅰ,"정찬, 곽준명, 김민식",기초필수,교과,이론,기초,기초과학,생명과학,,,등급,3.0,3.0,0.0,N,Y,"월16:30-18:00(E7 - 236), 수16:30-18:00(E7 - 236)",,
44,기초학부,전체,BS118,01,일반화학Ⅰ,Desta Kebede Taye,기초필수,교과,이론,기초,기초과학,화학,,,등급,3.0,3.0,0.0,N,Y,월13:00-16:00(E7 - 241),,
45,기초학부,전체,BS118,02,일반화학Ⅰ,상가라쥬샨무감,기초필수,교과,이론,기초,기초과학,화학,,,등급,3.0,3.0,0.0,N,Y,"화14:00-15:30(E7 - 242), 목14:00-15:30(E7 - 242)",,
46,기초학부,전체,BS118,03,일반화학Ⅰ,남은주,기초필수,교과,이론,기초,기초과학,화학,,,등급,3.0,3.0,0.0,N,Y,"수09:00-10:30(E7 - 233), 금09:00-10:30(E7 - 233)",,
47,기초학부,전체,BS118,04,일반화학Ⅰ,Desta Kebede Taye,기초필수,교과,이론,기초,기초과학,화학,,,등급,3.0,3.0,0.0,N,Y,"화16:00-17:30(E7 - 242), 목16:00-17:30(E7 - 242)",,"동일과목 : [대학](BS112) 물질의 이해, [대학](SE107) 물질의 이해"
48,기초학부,전체,BS118,05,일반화학Ⅰ,Desta Kebede Taye,기초필수,교과,이론,기초,기초과학,화학,,,등급,3.0,3.0,0.0,N,Y,"화09:00-10:30(E7 - 242), 목09:00-10:30(E7 - 242)",,"동일과목 : [대학](BS112) 물질의 이해, [대학](SE107) 물질의 이해"
49,기초학부,전체,BS202,01,확률과 통계 및 실습,Carlos Scarinci,기초필수,교과,이론및실습,기초,기초과학,수학,,,등급,3.0,3.0,1.0,N,Y,"화16:00-18:00(E7 - L21), 목16:00-18:00(E7 - L21)",,"2018학번 이상, 실습을 R이 아닌 Python으로 진행함"
50,기초학부,전체,BS203,01,선형대수학,한강진,기초필수,교과,이론및실습,기초,기초과학,수학,컴퓨터공학,,등급,3.0,3.0,1.0,N,Y,"월13:00-15:00(E7 - 224), 수13:00-15:00(E7 - 224)",,
51,기초학부,전체,BS203,02,선형대수학,한강진,기초필수,교과,이론및실습,기초,기초과학,수학,컴퓨터공학,,등급,3.0,3.0,1.0,N,Y,"화16:00-18:00(E7 - L22), 목16:00-18:00(E7 - L22)",,
52,기초학부,전체,BS203,03,선형대수학,이두석,기초필수,교과,이론및실습,기초,기초과학,수학,컴퓨터공학,,등급,3.0,3.0,1.0,N,Y,"월09:00-11:00(E7 - L22), 수09:00-11:00(E7 - L22)",,
53,기초학부,전체,CE303,01,화학공학열역학(공),고서진,심화필수,교과,이론,심화,전공,트랙,화학공학(*),공학사,등급,3.0,3.0,0.0,N,Y,"화10:30-12:00(E7 - L31), 목10:30-12:00(E7 - L31)",,
54,기초학부,전체,CE401,01,"고분자개론(이,공)",호동해,심화필수,교과,이론,심화,전공,트랙,화학공학(*)/화학,"이학사,공학사",등급,3.0,3.0,0.0,N,Y,"화09:00-10:30(E7 - L22), 목09:00-10:30(E7 - L22)",,
55,기초학부,전체,CE402,01,화학 제품 및 공정 설계(공),김찬연,심화필수,교과,이론,심화,전공,트랙,화학공학(*),공학사,등급,3.0,3.0,0.0,N,Y,"월14:30-16:00(E7 - G02), 수14:30-16:00(E7 - G02)",,
56,기초학부,전체,CHEM201,01,"분석화학(이,공)",이호춘,심화필수,교과,이론,심화,전공,트랙,화학(*)/재료공학/화학공학,"이학사,공학사",등급,3.0,3.0,0.0,N,Y,"월10:30-12:00(E7 - 233), 수10:30-12:00(E7 - 233)",,
57,기초학부,전체,CHEM205,01,"유기화학Ⅰ(이,공)",정병혁,심화필수,교과,이론,심화,전공,트랙,화학(*)/재료공학/화학공학,"이학사,공학사",등급,3.0,3.0,0.0,N,Y,"화09:00-10:30(E7 - 236), 목09:00-10:30(E7 - 236)",,
58,기초학부,전체,CHEM206,01,일반화학실험Ⅱ(이),Desta Kebede Taye,심화필수,교과,실습,심화,전공,트랙,화학(*),이학사,등급,1.0,0.0,2.0,N,Y,수13:00-15:00(E6 - 222),,
59,기초학부,전체,CHEM301,01,심화화학실험Ⅰ(이),"홍선기, 남은주",심화필수,교과,실습,심화,전공,트랙,화학(*),이학사,등급,2.0,0.0,4.0,N,Y,화12:30-16:30(E6 - 222),,
60,기초학부,전체,CHEM305,01,"무기화학Ⅱ(이,공)",김성균,심화필수,교과,이론,심화,전공,트랙,화학(*)/화학공학,"이학사,공학사",등급,3.0,3.0,0.0,N,Y,"월15:00-16:30(E7 - L22), 수15:00-16:30(E7 - L22)",(CHEM202) 무기화학 Ⅰ (이.공),무기화학I 사전 수강 필수
61,기초학부,전체,CHEM306,01,"물리화학Ⅱ(이,공)",성주영,심화필수,교과,이론,심화,전공,트랙,화학(*)/화학공학,"이학사,공학사",등급,3.0,3.0,0.0,N,Y,"월09:00-10:30(E7 - 224), 수09:00-10:30(E7 - 224)",,
62,기초학부,전체,CHEM404,01,계산화학(이),장윤희,심화필수,교과,이론및실습,심화,전공,트랙,화학(*),이학사,등급,3.0,2.0,1.0,N,Y,"월16:30-18:00(E7 - L22), 수16:30-18:00(E7 - L22)",,
63,기초학부,전체,CR501,01,한국어 Ⅰ,장근영,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,S/U,0.0,3.0,0.0,Y,Y,"화18:00-19:30(E7 - L21), 목18:00-19:30(E7 - L21)",,Required for international students admitted after 2025
64,기초학부,전체,CR502,01,한국어 Ⅱ,정효정,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,S/U,0.0,3.0,0.0,Y,Y,"화18:00-19:30(E7 - L22), 목18:00-19:30(E7 - L22)",,Required for international students admitted after 2025
65,기초학부,전체,CSE203,01,"자료구조(이,공)",김선준,심화필수,교과,이론,심화,전공,트랙,컴퓨터공학(*)/전자공학,"이학사,공학사",등급,3.0,3.0,0.0,N,Y,"월11:00-12:30(E7 - 242), 수11:00-12:30(E7 - 242)",(BE101a) 프로그래밍,
66,기초학부,전체,CSE302,01,"기계학습개론(이,공)",노어진,심화필수,교과,이론,심화,전공,트랙,컴퓨터공학(*),"이학사,공학사",등급,3.0,3.0,0.0,N,Y,"월15:00-16:30(E7 - 242), 수15:00-16:30(E7 - 242)",,
67,기초학부,전체,CSE305,01,컴퓨터구조(공),이효근,심화필수,교과,이론,심화,전공,트랙,컴퓨터공학(*)/전자공학,공학사,등급,3.0,3.0,0.0,N,Y,"화13:00-14:30(E7 - 236), 목13:00-14:30(E7 - 236)",(CSE201) 객체지향 프로그래밍 (이.공),
68,기초학부,전체,CSE306,01,시스템 프로그래밍(공),이용우,심화필수,교과,이론,심화,전공,트랙,컴퓨터공학(*),공학사,등급,3.0,3.0,0.0,N,Y,"월16:30-18:00(E7 - 242), 수16:30-18:00(E7 - 242)",(CSE201) 객체지향 프로그래밍 (이.공),
69,기초학부,전체,CSE307,01,"프로그래밍 언어(이,공)",전민석,심화필수,교과,이론,심화,전공,트랙,컴퓨터공학(*),"이학사,공학사",등급,3.0,3.0,0.0,N,Y,"화14:30-16:00(E7 - 236), 목14:30-16:00(E7 - 236)",,신규개설
70,기초학부,전체,CSE402,01,"강화학습(이,공)",이두석,심화필수,교과,이론,심화,전공,트랙,컴퓨터공학(*)/전자공학,"이학사,공학사",등급,3.0,3.0,0.0,N,Y,"월16:30-18:00(E7 - L21), 수16:30-18:00(E7 - L21)",(BE201) 인공지능기초,
71,기초학부,전체,CSE404,01,컴퓨터 비전 개론(공),임성훈,심화필수,교과,이론,심화,전공,트랙,컴퓨터공학(*),공학사,등급,3.0,3.0,0.0,N,Y,"화09:00-10:30(E7 - L21), 목09:00-10:30(E7 - L21)",,
72,기초학부,전체,CSE405,01,컴퓨터보안개론(공),최원석,심화필수,교과,이론,심화,전공,트랙,컴퓨터공학(*),공학사,등급,3.0,3.0,0.0,N,Y,"월10:30-12:00(E7 - 224), 수10:30-12:00(E7 - 224)",,
73,기초학부,전체,EE301,01,신호 및 시스템(공),최재호,심화필수,교과,이론,심화,전공,트랙,전자공학(*),공학사,등급,3.0,3.0,0.0,N,Y,"화09:00-10:30(E7 - 241), 목09:00-10:30(E7 - 241)",,
74,기초학부,학사,EE303,01,전자회로 이론(공),윤종혁,심화필수,교과,이론,심화,전공,트랙,전자공학(*),공학사,등급,3.0,3.0,0.0,N,Y,"화14:30-16:00(E7 - L22), 목14:30-16:00(E7 - L22)","(BE205) 회로이론과 계측법(이론), (BE206) 회로이론과 계측법(실습)",
75,기초학부,학사,EE304,01,반도체물성 개론(공),이상훈,심화필수,교과,이론,심화,전공,트랙,전자공학(*)/물리학/화학공학,공학사,등급,3.0,3.0,0.0,N,Y,"화16:00-17:30(E7 - 236), 목16:00-17:30(E7 - 236)",(BS105a) 일반물리Ⅱ,
76,기초학부,전체,EE401,01,디지털 신호처리(공),이민선,심화필수,교과,이론,심화,전공,트랙,전자공학(*)/컴퓨터공학,공학사,등급,3.0,3.0,0.0,N,Y,"화09:00-10:30(E7 - G01), 목09:00-10:30(E7 - G01)",,
77,기초학부,전체,EE403,01,디지털통신(공),서대원,심화필수,교과,이론,심화,전공,트랙,전자공학(*),공학사,등급,3.0,3.0,0.0,N,Y,"월13:00-14:30(E7 - G02), 수13:00-14:30(E7 - G02)",(EE305) 통신의 기초(공),
78,기초학부,학사,EE404,01,반도체공정개론(공),권혁준,심화필수,교과,이론,심화,전공,트랙,전자공학(*),공학사,등급,3.0,3.0,0.0,N,Y,"월15:00-16:30(E7 - L20), 수15:00-16:30(E7 - L20)",,
79,기초학부,전체,EE406,01,지능형제어시스템(공),"김경대, 이성민",심화필수,교과,이론,심화,전공,트랙,전자공학(*),공학사,등급,3.0,3.0,0.0,N,Y,"화13:00-14:30(E7 - 235), 목13:00-14:30(E7 - 235)",(MECH309) 자동제어시스템(공),
80,기초학부,전체,EE407,01,디지털집적회로설계(공),김가인,심화필수,교과,이론,심화,전공,트랙,전자공학(*),공학사,등급,3.0,3.0,0.0,N,Y,"월09:00-10:30(E3 - 626), 수09:00-10:30(E3 - 626)",,
81,기초학부,전체,ENT301,01,기업가 정신과 사회적 책임,권업,심화선택,교과,이론및실습,심화,전공,창업,,,등급,3.0,2.0,1.0,N,N,"월09:00-10:30(E7 - G03), 수09:00-10:30(E7 - G03)",,
82,기초학부,전체,ENT306,01,회계학 원론,조성표,심화선택,교과,이론,심화,전공,창업,,,등급,3.0,3.0,0.0,N,N,화14:30-17:30(E7 - L30),,신규개설
83,기초학부,전체,GC101,01,Academic English: Speaking and Correspondence,Aaron Cumberledge,기초필수,교과,이론,기초,글로벌커뮤니케이션,영어,,,등급,2.0,3.0,0.0,N,Y,화15:30-18:30(E7 - L27),,"2019-2014학번: Communication Skills, English for Science Leaders 1 대체과목"
84,기초학부,전체,GC101,02,Academic English: Speaking and Correspondence,Aaron Cumberledge,기초필수,교과,이론,기초,글로벌커뮤니케이션,영어,,,등급,2.0,3.0,0.0,N,Y,월09:00-12:00(E7 - L27),,"2019-2014학번: Communication Skills, English for Science Leaders 1 대체과목"
85,기초학부,전체,GC101,03,Academic English: Speaking and Correspondence,Aaron Cumberledge,기초필수,교과,이론,기초,글로벌커뮤니케이션,영어,,,등급,2.0,3.0,0.0,N,Y,월13:00-16:00(E7 - L27),,"2019-2014학번: Communication Skills, English for Science Leaders 1 대체과목"
86,기초학부,전체,GC101,04,Academic English: Speaking and Correspondence,Aaron Cumberledge,기초필수,교과,이론,기초,글로벌커뮤니케이션,영어,,,등급,2.0,3.0,0.0,N,Y,화11:00-14:00(E7 - L27),,"2019-2014학번: Communication Skills, English for Science Leaders 1 대체과목"
87,기초학부,전체,GC101,05,Academic English: Speaking and Correspondence,Benjamin Wilson Riley,기초필수,교과,이론,기초,글로벌커뮤니케이션,영어,,,등급,2.0,3.0,0.0,N,Y,수09:00-12:00(E7 - L28),,"2019-2014학번: Communication Skills, English for Science Leaders 1 대체과목"
88,기초학부,전체,GC101,06,Academic English: Speaking and Correspondence,Benjamin Wilson Riley,기초필수,교과,이론,기초,글로벌커뮤니케이션,영어,,,등급,2.0,3.0,0.0,N,Y,목11:00-14:00(E7 - L27),,"2019-2014학번: Communication Skills, English for Science Leaders 1 대체과목"
